"name","cuisine","visited","rating","notes","gps","googleUrl","originalUrl"
"Dimassi's","Mediterranean","✓","low","Buffet, kind of expensive, but good quality buffet","29.5678646,-98.5962647","https://maps.google.com/maps?q=+%4029.5678646,-98.5962647","https://www.google.com/maps/place/Dimassi's+Mediterranean+Buffet/data=!4m2!3m1!1s0x865c66dd51eca4f7:0x2bbc8330e4dcc103"
"Domingo Restaurant","Tex-Mex",,"low",,"29.4248277,-98.494167","https://maps.google.com/maps?q=+%4029.4248277,-98.494167","https://www.google.com/maps/place/Domingo+Restaurant/data=!4m2!3m1!1s0x865c58accee835ad:0x82b8fe4cc4813896"
"Dorrego's","Argentinian",,"low",,"29.4263544,-98.4942911","https://maps.google.com/maps?q=+%4029.4263544,-98.4942911","https://www.google.com/maps/place/Dorrego%E2%80%99s/data=!4m2!3m1!1s0x865c5f533b7d7775:0x5968c5f37bbc364f"
"Dough Pizzeria Napoletana","Pizza",,"low",,"29.4186661,-98.4905968","https://maps.google.com/maps?q=+%4029.4186661,-98.4905968","https://www.google.com/maps/place/Dough+Pizzeria+Napoletana/data=!4m2!3m1!1s0x865c5976894759e7:0x268645103153ba1e"
"El Bucanero - Blanco","Seafood",,"low",,"29.5918261,-98.5149184","https://maps.google.com/maps?q=+%4029.5918261,-98.5149184","https://www.google.com/maps/place/El+Bucanero+-+Blanco/data=!4m2!3m1!1s0x865cf72919d643eb:0xa5e6272dfb0ef912"
"El Buen Gusto Restaurant","Mexican",,"low",,"29.5122222,-98.6656305","https://maps.google.com/maps?q=+%4029.5122222,-98.6656305","https://www.google.com/maps/place/El+Buen+Gusto+Mexican+Cafe/data=!4m2!3m1!1s0x865c68072ea90ae9:0x2cdcdb4147257d09"
"El Chaparral - Boerne","Mexican","✓","medium",,"29.7746775,-98.7184116","https://maps.google.com/maps?q=+%4029.7746775,-98.7184116","https://www.google.com/maps/place/El+Chaparral/data=!4m2!3m1!1s0x865c7163809e1b43:0xcb1c42869c61ce6a"
"El Chaparral - Helotes","Mexican","✓","medium",,"29.5834575,-98.6970997","https://maps.google.com/maps?q=+%4029.5834575,-98.6970997","https://www.google.com/maps/place/El+Chaparral+Mexican+Restaurant+-+Helotes/data=!4m2!3m1!1s0x865c68da95fd0acf:0xfca5dbcc4f5ee1da"
"El Jarro de Arturo","Mexican",,"low",,"29.5649553,-98.4866674","https://maps.google.com/maps?q=+%4029.5649553,-98.4866674","https://www.google.com/maps/place/El+Jarro+de+Arturo/data=!4m2!3m1!1s0x865c8a7ff43aab77:0x958cd53741f2aba4"
"El Mirasol","Mexican",,"low",,"29.6075824,-98.5072747","https://maps.google.com/maps?q=+%4029.6075824,-98.5072747","https://www.google.com/maps/place/El+Mirasol/data=!4m2!3m1!1s0x865c61b0274fa4ef:0x4162ab648314b00b"
"El Mirasol (2)","Mexican",,"low",,"29.5538444,-98.5365498","https://www.google.com/maps/place/El+Mirasol/@29.5538444,-98.5365498,953m/data=!3m2!1e3!4b1!4m6!3m5!1s0x865c60fb8dbb572d:0xf036046fa616993e!8m2!3d29.5538444!4d-98.5365498!16s%2Fg%2F11c0pyxslx?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/maps/place/El+Mirasol/data=!4m2!3m1!1s0x865c60fb8dbb572d:0xf036046fa616993e"
"El Pastor Es Mi Señor","Mexican",,"medium",,"29.5241543,-98.5723594","https://maps.google.com/maps?q=+%4029.5241543,-98.5723594","https://www.google.com/maps/place/El+Pastor+Es+Mi+Se%C3%B1or/data=!4m2!3m1!1s0x865c61e627064979:0x29d079c8241e3ffa"
"Elsewhere","Bar",,"high",,"29.4362751,-98.4831559","https://maps.google.com/maps?q=+%4029.4362751,-98.4831559","https://www.google.com/maps/place/Elsewhere+Garden+Bar+%26+Kitchen/data=!4m2!3m1!1s0x865cf58ce8f088e9:0xf5cf102d1f662829"
"European Dumplings Cafe","Ukrainian","✓","high",,"29.5352358,-98.5256744","https://maps.google.com/maps?q=+%4029.5352358,-98.5256744","https://www.google.com/maps/place/European+Dumplings+Cafe/data=!4m2!3m1!1s0x865c43c15974aa65:0x2d8491f105b0cf65"
"Fat Tummy Empanadas","Argentinian","✓","medium",,"29.4280016,-98.5305217","https://maps.google.com/maps?q=+%4029.4280016,-98.5305217","https://www.google.com/maps/place/Fat+Tummy+Empanadas/data=!4m2!3m1!1s0x865c57f5c3606b39:0xf96c0f0b8a46e80d"
"SA FredericksBURGERS","Hamburger",,"low",,"29.532134,-98.648559","https://maps.google.com/maps?q=+%4029.532134,-98.648559","https://www.google.com/maps/place/FredericksBURGERS/data=!4m2!3m1!1s0x865c5fa7770d254b:0x6329ce492f22dc3b"
"French Sandwiches","Sandwich",,"medium",,"29.5192267,-98.5745991","https://maps.google.com/maps?q=+%4029.5192267,-98.5745991","https://www.google.com/maps/place/French+Sandwiches/data=!4m2!3m1!1s0x865c675345e9d629:0x404070a28dc68069"
"Garcia's","Mexican",,"low",,"29.5871703,-98.2699109","https://maps.google.com/maps?q=+%4029.5871703,-98.2699109","https://www.google.com/maps/place/Garcia's+Mexican+Restaurant/data=!4m2!3m1!1s0x865c92525bd939c5:0xf4901e7ce990afd8"
"Gino's Deli @ Stop & Buy","Sandwich","✓","medium","Cheesesteaks","29.5644436,-98.5601234","https://maps.google.com/maps?q=+%4029.5644436,-98.5601234","https://www.google.com/maps/place/Gino's+Deli+@+Stop+%26+Buy/data=!4m2!3m1!1s0x865c612683446f3f:0x39873d76b1621ebb"
"Golden Kirin","Chinese",,"low",,"29.4878181,-98.5507602","https://maps.google.com/maps?q=+%4029.4878181,-98.5507602","https://www.google.com/maps/place/Golden+Kirin+Restaurant/data=!4m2!3m1!1s0x865c5e4048c2f6ab:0x5100c37ddd5a4801"
